"region"	"year"	"gender"	"age"	"count"
0	1989	"m"	"total"	23745108
0	1989	"m"	"0"	370680
0	1989	"m"	"1"	379109
0	1989	"m"	"2"	397772
0	1989	"m"	"3"	387079
0	1989	"m"	"4"	399224
0	1989	"m"	"5"	403120
0	1989	"m"	"6"	374190
0	1989	"m"	"7"	361379
0	1989	"m"	"8"	374245
0	1989	"m"	"9"	366513
0	1989	"m"	"10"	365252
0	1989	"m"	"11"	358882
0	1989	"m"	"12"	374373
0	1989	"m"	"13"	369002
0	1989	"m"	"14"	367348
0	1989	"m"	"15"	372240
0	1989	"m"	"16"	386514
0	1989	"m"	"17"	377658
0	1989	"m"	"18"	350223
0	1989	"m"	"19"	321252
0	1989	"m"	"20"	328366
0	1989	"m"	"21"	331818
0	1989	"m"	"22"	340749
0	1989	"m"	"23"	332679
0	1989	"m"	"24"	350974
0	1989	"m"	"25"	373758
0	1989	"m"	"26"	386940
0	1989	"m"	"27"	395429
0	1989	"m"	"28"	412097
0	1989	"m"	"29"	401412
0	1989	"m"	"30"	403062
0	1989	"m"	"31"	391578
0	1989	"m"	"32"	383800
0	1989	"m"	"33"	367004
0	1989	"m"	"34"	378785
0	1989	"m"	"35"	353831
0	1989	"m"	"36"	367021
0	1989	"m"	"37"	364720
0	1989	"m"	"38"	362303
0	1989	"m"	"39"	378533
0	1989	"m"	"40"	331739
0	1989	"m"	"41"	287001
0	1989	"m"	"42"	284709
0	1989	"m"	"43"	181163
0	1989	"m"	"44"	210991
0	1989	"m"	"45"	198678
0	1989	"m"	"46"	246684
0	1989	"m"	"47"	337941
0	1989	"m"	"48"	342251
0	1989	"m"	"49"	378488
0	1989	"m"	"50"	405192
0	1989	"m"	"51"	428888
0	1989	"m"	"52"	352047
0	1989	"m"	"53"	302219
0	1989	"m"	"54"	237263
0	1989	"m"	"55"	201486
0	1989	"m"	"56"	248080
0	1989	"m"	"57"	259637
0	1989	"m"	"58"	312694
0	1989	"m"	"59"	294377
0	1989	"m"	"60"	309841
0	1989	"m"	"61"	289783
0	1989	"m"	"62"	252197
0	1989	"m"	"63"	222412
0	1989	"m"	"64"	200714
0	1989	"m"	"65"	176425
0	1989	"m"	"66"	144950
0	1989	"m"	"67"	131395
0	1989	"m"	"68"	108535
0	1989	"m"	"69"	102297
0	1989	"m"	"70"	104614
0	1989	"m"	"71"	64816
0	1989	"m"	"72"	68603
0	1989	"m"	"73"	81736
0	1989	"m"	"74"	100189
0	1989	"m"	"75"	91415
0	1989	"m"	"76"	93374
0	1989	"m"	"77"	76578
0	1989	"m"	"78"	73652
0	1989	"m"	"79"	59937
0	1989	"m"	"80"	51984
0	1989	"m"	"81"	47632
0	1989	"m"	"82"	40071
0	1989	"m"	"83"	31791
0	1989	"m"	"84"	26432
0	1989	"m"	"85"	22032
0	1989	"m"	"86"	17271
0	1989	"m"	"87"	11514
0	1989	"m"	"88"	11305
0	1989	"m"	"89"	6434
0	1989	"m"	"90"	5299
0	1989	"m"	"91"	3654
0	1989	"m"	"92"	2964
0	1989	"m"	"93"	2208
0	1989	"m"	"94"	1540
0	1989	"m"	"95"	1131
0	1989	"m"	"96"	960
0	1989	"m"	"97"	542
0	1989	"m"	"98"	493
0	1989	"m"	"99"	284
0	1989	"m"	"100"	351
0	1989	"m"	"unknown"	0
0	1989	"f"	"total"	27706926
0	1989	"f"	"0"	354974
0	1989	"f"	"1"	362729
0	1989	"f"	"2"	381864
0	1989	"f"	"3"	374154
0	1989	"f"	"4"	383125
0	1989	"f"	"5"	390385
0	1989	"f"	"6"	361074
0	1989	"f"	"7"	349656
0	1989	"f"	"8"	360196
0	1989	"f"	"9"	353263
0	1989	"f"	"10"	353444
0	1989	"f"	"11"	348483
0	1989	"f"	"12"	363147
0	1989	"f"	"13"	359436
0	1989	"f"	"14"	357371
0	1989	"f"	"15"	354567
0	1989	"f"	"16"	368871
0	1989	"f"	"17"	355397
0	1989	"f"	"18"	343807
0	1989	"f"	"19"	318730
0	1989	"f"	"20"	327607
0	1989	"f"	"21"	325406
0	1989	"f"	"22"	335322
0	1989	"f"	"23"	329902
0	1989	"f"	"24"	349593
0	1989	"f"	"25"	375162
0	1989	"f"	"26"	390165
0	1989	"f"	"27"	397253
0	1989	"f"	"28"	417496
0	1989	"f"	"29"	407403
0	1989	"f"	"30"	410270
0	1989	"f"	"31"	398415
0	1989	"f"	"32"	394610
0	1989	"f"	"33"	378197
0	1989	"f"	"34"	393285
0	1989	"f"	"35"	368733
0	1989	"f"	"36"	383364
0	1989	"f"	"37"	378440
0	1989	"f"	"38"	381820
0	1989	"f"	"39"	403483
0	1989	"f"	"40"	353979
0	1989	"f"	"41"	308456
0	1989	"f"	"42"	309668
0	1989	"f"	"43"	202009
0	1989	"f"	"44"	237363
0	1989	"f"	"45"	222868
0	1989	"f"	"46"	281601
0	1989	"f"	"47"	381218
0	1989	"f"	"48"	390299
0	1989	"f"	"49"	440594
0	1989	"f"	"50"	475089
0	1989	"f"	"51"	490721
0	1989	"f"	"52"	405164
0	1989	"f"	"53"	341309
0	1989	"f"	"54"	266450
0	1989	"f"	"55"	236385
0	1989	"f"	"56"	307450
0	1989	"f"	"57"	316730
0	1989	"f"	"58"	398160
0	1989	"f"	"59"	380545
0	1989	"f"	"60"	415195
0	1989	"f"	"61"	392852
0	1989	"f"	"62"	396793
0	1989	"f"	"63"	379047
0	1989	"f"	"64"	374278
0	1989	"f"	"65"	337763
0	1989	"f"	"66"	307433
0	1989	"f"	"67"	265449
0	1989	"f"	"68"	226483
0	1989	"f"	"69"	219660
0	1989	"f"	"70"	231430
0	1989	"f"	"71"	145290
