"code"	"name"
0	"Ukraine"
1	"Autonomous Republic of Crimea"
5	"Vinnytsia Oblast"
7	"Volyn Oblast"
12	"Dnipropetrovsk Oblast"
14	"Donetsk Oblast"
18	"Zhytomyr Oblast"
21	"Zakarpattia Oblast"
23	"Zaporizhia Oblast"
26	"Ivano-Frankivsk Oblast"
32	"Kiev Oblast"
35	"Kirovohrad Oblast"
44	"Luhansk Oblast"
46	"Lviv Oblast"
48	"Mykolaiv Oblast"
51	"Odessa Oblast"
53	"Poltava Oblast"
56	"Rivne Oblast"
59	"Sumy Oblast"
61	"Ternopil Oblast"
63	"Kharkiv Oblast"
65	"Kherson Oblast"
68	"Khmelnytskyi Oblast"
71	"Cherkasy Oblast"
73	"Chernivtsi Oblast"
74	"Chernihiv Oblast"
80	"City of Kiev"
85	"City of Sevastopol"
